sent_model,target,ticker,approach,mae,dir_acc
Qwen2.5,cc,GOOGL,Ridge,0.008808705438750924,0.7272727272727273
Qwen2.5,cc,META,Naive,0.009901988537885452,0.0
Qwen2.5,cc,META,Gated-Naive,0.009901988537885452,0.0
Qwen2.5,cc,META,Sent×Vol,0.009980930940023565,0.29545454545454547
Qwen2.5,cc,META,Dir-Nudge,0.009901988537885452,0.0
Qwen2.5,cc,META,Extreme-Mag,0.009901988537885452,0.0
Qwen2.5,cc,META,Bayesian,0.010107876336825696,0.29545454545454547
Qwen2.5,cc,META,Ridge,0.010912377618545497,0.4318181818181818
Qwen2.5,cc,MSFT,Naive,0.007901710593846523,0.0
Qwen2.5,cc,MSFT,Gated-Naive,0.007901710593846523,0.0
Qwen2.5,cc,MSFT,Sent×Vol,0.007901710593846523,0.0
Qwen2.5,cc,MSFT,Dir-Nudge,0.007901710593846523,0.0
Qwen2.5,cc,MSFT,Extreme-Mag,0.007901710593846523,0.0
Qwen2.5,cc,MSFT,Bayesian,0.007901710593846523,0.0
Qwen2.5,cc,MSFT,Ridge,0.008754722568756985,0.5111111111111111
Qwen2.5,cc,NVDA,Naive,0.023099850407138536,0.0
Qwen2.5,cc,NVDA,Gated-Naive,0.02587587794451912,0.13333333333333333
Qwen2.5,cc,NVDA,Sent×Vol,0.025784799201276517,0.35555555555555557
Qwen2.5,cc,NVDA,Dir-Nudge,0.023099850407138536,0.0
Qwen2.5,cc,NVDA,Extreme-Mag,0.02494095554591997,0.13333333333333333
Qwen2.5,cc,NVDA,Bayesian,0.02717200980740425,0.35555555555555557
Qwen2.5,cc,NVDA,Ridge,0.022702065091947433,0.6888888888888889
Qwen2.5,cc,TSLA,Naive,0.027569892187314003,0.0
Qwen2.5,cc,TSLA,Gated-Naive,0.02664100477891436,0.15555555555555556
Qwen2.5,cc,TSLA,Sent×Vol,0.026471797376899555,0.4
Qwen2.5,cc,TSLA,Dir-Nudge,0.027569892187314003,0.0
Qwen2.5,cc,TSLA,Extreme-Mag,0.026927898988429403,0.15555555555555556
Qwen2.5,cc,TSLA,Bayesian,0.026203662197128826,0.4
Qwen2.5,cc,TSLA,Ridge,0.026688180827957188,0.7111111111111111
DeBERTa,gap,AAPL,Naive,0.006933159102138145,0.0
DeBERTa,gap,AAPL,Gated-Naive,0.006853923569159049,0.06818181818181818
DeBERTa,gap,AAPL,Sent×Vol,0.006529034729464717,0.3409090909090909
DeBERTa,gap,AAPL,Dir-Nudge,0.006933159102138145,0.0
DeBERTa,gap,AAPL,Extreme-Mag,0.006933159102138145,0.0
DeBERTa,gap,AAPL,Bayesian,0.00683464375129937,0.3409090909090909
DeBERTa,gap,AAPL,Ridge,0.00668965384968912,0.5681818181818182
DeBERTa,gap,AMZN,Naive,0.006309142682461388,0.0
DeBERTa,gap,AMZN,Gated-Naive,0.006309142682461388,0.0
DeBERTa,gap,AMZN,Sent×Vol,0.006893841014670659,0.3409090909090909
DeBERTa,gap,AMZN,Dir-Nudge,0.006309142682461388,0.0
DeBERTa,gap,AMZN,Extreme-Mag,0.0066634828636180435,0.06818181818181818
DeBERTa,gap,AMZN,Bayesian,0.006309142682461388,0.0
DeBERTa,gap,AMZN,Ridge,0.007291187085361159,0.4772727272727273
DeBERTa,gap,GOOGL,Naive,0.00633826473519132,0.0
DeBERTa,gap,GOOGL,Gated-Naive,0.00633826473519132,0.0
DeBERTa,gap,GOOGL,Sent×Vol,0.00633826473519132,0.0
DeBERTa,gap,GOOGL,Dir-Nudge,0.00633826473519132,0.0
DeBERTa,gap,GOOGL,Extreme-Mag,0.00633826473519132,0.0
DeBERTa,gap,GOOGL,Bayesian,0.00633826473519132,0.0
DeBERTa,gap,GOOGL,Ridge,0.0063413906301907266,0.4444444444444444
DeBERTa,gap,META,Naive,0.006006785990208977,0.0
DeBERTa,gap,META,Gated-Naive,0.006006785990208977,0.0
DeBERTa,gap,META,Sent×Vol,0.006006785990208977,0.0
DeBERTa,gap,META,Dir-Nudge,0.006006785990208977,0.0
DeBERTa,gap,META,Extreme-Mag,0.006006785990208977,0.0
DeBERTa,gap,META,Bayesian,0.006006785990208977,0.0
DeBERTa,gap,META,Ridge,0.005946460210687019,0.6444444444444445
DeBERTa,gap,MSFT,Naive,0.004763336335085546,0.0
DeBERTa,gap,MSFT,Gated-Naive,0.004729180681651873,0.1111111111111111
DeBERTa,gap,MSFT,Sent×Vol,0.004717337538415072,0.3111111111111111
DeBERTa,gap,MSFT,Dir-Nudge,0.004763336335085546,0.0
DeBERTa,gap,MSFT,Extreme-Mag,0.00474625850836871,0.1111111111111111
DeBERTa,gap,MSFT,Bayesian,0.004728441764918838,0.3111111111111111
DeBERTa,gap,MSFT,Ridge,0.004568859363726831,0.6666666666666666
DeBERTa,gap,NVDA,Naive,0.011581374583939385,0.0
DeBERTa,gap,NVDA,Gated-Naive,0.011094312376903758,0.15555555555555556
DeBERTa,gap,NVDA,Sent×Vol,0.011128546082483213,0.37777777777777777
DeBERTa,gap,NVDA,Dir-Nudge,0.011581374583939385,0.0
DeBERTa,gap,NVDA,Extreme-Mag,0.011094312376903758,0.15555555555555556
DeBERTa,gap,NVDA,Bayesian,0.011129263208324304,0.37777777777777777
DeBERTa,gap,NVDA,Ridge,0.011100215757864596,0.6222222222222222
DeBERTa,gap,TSLA,Naive,0.015218778994813333,0.0
DeBERTa,gap,TSLA,Gated-Naive,0.015218778994813333,0.0
DeBERTa,gap,TSLA,Sent×Vol,0.015218778994813333,0.0
DeBERTa,gap,TSLA,Dir-Nudge,0.015218778994813333,0.0
DeBERTa,gap,TSLA,Extreme-Mag,0.015218778994813333,0.0
DeBERTa,gap,TSLA,Bayesian,0.015218778994813333,0.0
DeBERTa,gap,TSLA,Ridge,0.015106128266982636,0.4222222222222222
DeBERTa,cc,AAPL,Naive,0.009596211000003768,0.0
DeBERTa,cc,AAPL,Gated-Naive,0.009775364500920973,0.08888888888888889
DeBERTa,cc,AAPL,Sent×Vol,0.009377209139744637,0.37777777777777777
DeBERTa,cc,AAPL,Dir-Nudge,0.009596211000003768,0.0
DeBERTa,cc,AAPL,Extreme-Mag,0.00958892164451273,0.08888888888888889
DeBERTa,cc,AAPL,Bayesian,0.009442469380143129,0.37777777777777777
DeBERTa,cc,AAPL,Ridge,0.009436160502097515,0.5555555555555556
DeBERTa,cc,AMZN,Naive,0.012459625343981222,0.0
DeBERTa,cc,AMZN,Gated-Naive,0.012459625343981222,0.0
DeBERTa,cc,AMZN,Sent×Vol,0.012459625343981222,0.0
DeBERTa,cc,AMZN,Dir-Nudge,0.012459625343981222,0.0
DeBERTa,cc,AMZN,Extreme-Mag,0.012459625343981222,0.0
DeBERTa,cc,AMZN,Bayesian,0.012459625343981222,0.0
DeBERTa,cc,AMZN,Ridge,0.012754758856124442,0.4666666666666667
DeBERTa,cc,GOOGL,Naive,0.009851698262608333,0.0
DeBERTa,cc,GOOGL,Gated-Naive,0.009851698262608333,0.0
DeBERTa,cc,GOOGL,Sent×Vol,0.009851698262608333,0.0
DeBERTa,cc,GOOGL,Dir-Nudge,0.009851698262608333,0.0
DeBERTa,cc,GOOGL,Extreme-Mag,0.009851698262608333,0.0
DeBERTa,cc,GOOGL,Bayesian,0.009851698262608333,0.0
DeBERTa,cc,GOOGL,Ridge,0.008890379965912104,0.7727272727272727
DeBERTa,cc,META,Naive,0.009901988537885452,0.0
DeBERTa,cc,META,Gated-Naive,0.010201669918438074,0.13636363636363635
DeBERTa,cc,META,Sent×Vol,0.009971258694156918,0.20454545454545456
DeBERTa,cc,META,Dir-Nudge,0.009901988537885452,0.0
DeBERTa,cc,META,Extreme-Mag,0.009901988537885452,0.0
DeBERTa,cc,META,Bayesian,0.00994641368851216,0.20454545454545456
DeBERTa,cc,META,Ridge,0.009576912713048573,0.5909090909090909
DeBERTa,cc,MSFT,Naive,0.007901710593846523,0.0
